Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
87.2.75,peinture,tableau,,COMBAT DE CERFS,ARMAND François Alexandre,"Le Puy-en-Velay, 1840 ; Saint-Paulien, 1917",,1er quart 20e siècle,1903,,,,,,33.2 H ; 41.5 L,peinture à l'huile;carton,,,"représentation animalière (cerf, agression animale, étang, arbre)",,,propriété de la commune ; legs ; Le Puy-en-Velay ; musée Crozatier,1987,,,00000061651,Le Puy-en-Velay;musée Crozatier,M0116,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Le Puy-en-Velay,"45.043141,3.883955"
A.412,peinture,tableau,,Quatre études de paysages,BONVIN François,"Paris, 1817 ; Saint-Germain-en-Laye, 1887 ;# A l'occasion d'un démontage récent des quatre panneaux, la découverte d'une signature au pied de la maison, s'inscrivant sur un horizon bas, de la composition gauche, a permis d'apporter un autre éclairage sur ces petites peintures. Traditionnellement attribuées à Théodore Rousseau, elles plaçaient déjà ces oeuvres, réalisées à l'huile, dans le contexte des paysagistes de l'école de Barbizon. Comme eux, Bonvin est un admirateur de la peinture hollandaise. Une enfance difficile le contraignit à vite abandonner les cours gratuits de dessin auxquels il était inscrit pour entrer dans des métiers successifs - imprimerie, police - qui lui laissaient néanmoins le loisir de fréquenter le Louvre et d'y copier. Il accumule aussi, à ses débuts, une variété de compositions dans des genres très divers ; les portraits cèdent le pas aux paysages d'après nature ; plus tard ses thèmes de prédilection seront la nature morte en alternance avec des scènes d'intérieur",,19e siècle,,,,,,,,"peinture à l'huile, chêne, carton",,,"paysage (maison, chaumière, arbre, personnage)",,,propriété de la commune ; legs ; Mâcon ; musée des Ursulines,1897,,,01720004307,Mâcon;musée des Ursulines,M0172,2003-06-26,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mâcon,"46.305198,4.830897"
A.646 - 2007.0.7.23 ; 3132 (Inv. F.N.A.C :) ; 2007.0.7.23 (Transfert de propriété),peinture,tableau,,Le Suydersee à Monnikendam,DESTAILLEUR René,"Paris, 1816 ; ?",,1er quart 20e siècle,,,,,,,H. en cm 46.3 ; l. en cm 55 ; E. en cm 2,"peinture à l'huile, toile",,,"paysage (mer, bateau, pêche aux engins, berge, brume, reflet, Hollande, Zuiderzee)",,,propriété de la commune ; transfert de propriété de l'Etat à titre gratuit ; Mâcon ; musée des Ursulines,2007,,,01720004410,Mâcon;musée des Ursulines,M0172,2003-06-26,2015-06-24,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Mâcon,"46.305198,4.830897"
INV.873-1-151,peinture,tableau,,COMBAT DE CAVALIERS,VERDUSSEN Jan Peeter,"Anvers, vers 1700 ; Avignon, 1763",,1ère moitié 18e siècle;3e quart 18e siècle,,,,,,,72.5 H ; 98 L,peinture à l'huile;toile,,,"scène (combat, cavalier, palmier, château, nuage, effet de lumière)",,,propriété de la commune ; legs ; Quimper ; musée des Beaux-Arts,1864,,,00000062757,Quimper;musée des beaux-arts,M0207,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Flandre,,Quimper,"47.995479,-4.098022"
E.Cl. 11516 A ; CL 11516 A,sculpture,élément d'ensemble;chaire à prêcher;panneau;relief,,PANNEAU,anonyme,,,19e siècle,,,style Renaissance,,,,37 H ; 12 L,Demi-relief;taille directe;bois,,France (lieu de provenance),"figure biblique (saint Jacques le Majeur, livre, bâton)",,,propriété de l'Etat ; achat ; Musée de Cluny,1843,1977,,000SC006540,Ecouen;musée national de la Renaissance,M5012,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,affecté ; Ecouen ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
887.4.1,peinture,tableau,,SOULT EN SERGENT DES GARDES FRANCAISES,DESPONTS Ernest Sosthene ; RAVERAT Vincent Nicolas (d'après),"DEsponts : Chaource, 1848 ; ?#Raverat : Moutiers-Saint-Jean, 1801 ; Paris, 1865",,4e quart 19e siècle,1880,2e quart 19e siècle,,,,,72.5 H ; 54 L,peinture à l'huile;toile,,,"portrait (Soult Nicolas Jean-de-Dieu, rétrospectif, homme, de face, soldat, uniforme, jeunesse)",,,propriété de la commune ; don ; Castres ; musée Goya,1887,,,00000074292,Castres;musée Goya,M0594,,1995-01-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; France (d'après),,Castres,"43.605593,2.239723"
879.6.1,peinture,tableau,,LE DOCTEUR BENAZECH,GOLSE Gabriel,"Saix, 1830 ; Toulouse (?), 1879",,3e quart 19e siècle,1850 entre ; 1869 et,,,,,,81.5 H ; 64.5 L,peinture à l'huile;toile,,,"portrait (Bénazech Dr, homme, praticien : médecine, à mi-corps, de face)",,,propriété de la commune ; don ; Castres ; musée Goya,1879,,,00000074302,Castres;musée Goya,M0594,,1995-01-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Castres,"43.605593,2.239723"
841.1.1,peinture,tableau,,VUE DE LA FORET DE FONTAINEBLEAU,VALETTE Joseph Charles,"Castres, 1813 ; Castres, 1888",,2e quart 19e siècle,1840,,,,,,130 H ; 163 L,peinture à l'huile;toile,,,"paysage (forêt, automne, clairière : cerf, nuage, Seine-et-Marne d)",,,propriété de la commune ; don ; Castres ; musée Goya,1841,,,00000074323,Castres;musée Goya,M0594,,1995-01-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Castres,"43.605593,2.239723"
D 55.4.1,peinture,tableau,,LA TOILETTE DU TOREADOR,POULELET M G,,,3e quart 20e siècle,1955,,,,,,46 H ; 37.8 L,peinture à l'huile;toile,,,"scène (artiste : tauromachie, habillage, vêtement, intérieur)",,,propriété de l'Etat ; musée National d'Art Moderne,,1955,,00000074405,Castres;musée Goya,M0594,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Castres ; Musée Goya,Castres,"43.605593,2.239723"
D 01.1.1,peinture,tableau,,LE SOIR A TURSAC,CABIE Louis,"Dol-de-Bretagne, 1853 ; ?,1939",,1er quart 20e siècle,1900,,,,,,150 H ; 205 L,peinture à l'huile;toile,,,"paysage (colline, crépuscule, feuillu, chataignier, bouleau, pré, Vézère, Tursac, château)",,,propriété de l'Etat ; musée d'Orsay,,1901,,00000074473,Castres;musée Goya,M0594,,1995-01-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Castres ; Musée Goya,Castres,"43.605593,2.239723"
C 46.003,peinture,tableau,,Rendez-vous de chasse à courre,BRISSOT DE WARVILLE Félix Saturnin,"Véron, 1818 ; Versailles, 1892",,3e quart 19e siècle,,,,,,,"H. 14 ; L. 21,5",peinture à l'huile;toile,,,scène (chasse à courre),,,propriété de l'Etat ; achat ; musée national du château de Compiègne,1946,,,M5009000727,Compiègne;musée national du château de Compiègne,M5009,2002-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Compiègne,"49.413535,2.82091"
C 71.040,peinture,tableau,,Joyeux souper de mousquetaires,MONTICELLI Adolphe Joseph,"Marseille, 1824 ; Marseille, 1886",,2e moitié 19e siècle,,,,,,,"H. 22 ; L. 27,5",peinture à l'huile;toile,,,"scène (intérieur, repas, homme, soldat : époque Louis XIII)",,,propriété de l'Etat ; donation sous réserve d'usufruit ; musée national du château de Compiègne,1971 date d'acquisition ; 1976 entrée matérielle,,,M5009000716,Compiègne;musée national du château de Compiègne,M5009,2002-01-23,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Compiègne,"49.413535,2.82091"
C 65.004,peinture,tableau,,L'Assemblée de la vénerie ; carrefour d'Aschère ; forêt de Fontainebleau,JADIN Louis Godefroy,"Paris, 1805 ; Paris, 1882",,3e quart 19e siècle,1854,,,,,,"H. 139,5 ; L. 235,5",peinture à l'huile;toile,,,"scène (chasse à courre ; groupe : chien, chasseur, cheval) ; fond de paysage (Fontainebleau, forêt)",,,propriété de l'Etat ; achat ; musée national du château de Compiègne,1965,,,M5009000272,Compiègne;musée national du château de Compiègne,M5009,2001-12-28,2002-02-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Compiègne,"49.413535,2.82091"
INV 2924,peinture,tableau,,FERME SOUS LA NEIGE,DELPLANQUE Georges Emile,"Douai, 1903",,3e quart 20e siècle,1956,,,,,,89 H ; 116 L,peinture à l'huile;toile,,,"paysage (ferme, neige)",,,propriété de l'Etat,1957,1957,,00000093448,Douai;musée de la Chartreuse,M0619,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Douai ; Musée de la Chartreuse,Douai,"50.370351,3.078607"
INV 544,peinture,tableau,,LE TRIOMPHE DE BACCHUS,anonyme ; POUSSIN Nicolas (d'après),,,2e quart 17e siècle;2e moitié 17e siècle,1636 après,2e quart 17e siècle,,,,,90 H ; 118 L,peinture à l'huile;toile,,,"scène mythologique (Bacchus, char, centaure, groupe, femme, enfant, satyre, ?, putti) ; fond de paysage (feuillu, effet de soleil, soir, nuage, ciel)",,,propriété de la commune ; Orléans ; musée des Beaux-Arts ; Saisie révolutionnaire,1825 Entrée matérielle,,"ORLEANS, ECOLE CENTRALE (1798) ; ORLEANS, EGLISE SAINT-MACLOU (?) ; ORLEANS, JARDIN DES PLANTES (1803) ; ORLEANS, PREFECTURE DU LOIRET",00000093601,Orléans;musée des beaux-arts,M0286,,1995-01-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; France (d'après),,Orléans,"47.901977,1.903836"
1938 F 262,peinture,tableau,,Vue d'une maison de campagne,DELECLUZE Etienne Jean (peintre),"DELECLUZE : Paris, 1781 ; Versailles, 1863 ; nationalité : Française",,1er quart 19e siècle,1807,,,,,,Hauteur 0.410 ; Largeur 0.332,peinture à l'huile;toile,,,"paysage (maison, parc, pièce d'eau, pont, cygne)",,,propriété de l'Etat ; legs ; musée national Magnin,1938,,,50110000346,Dijon;musée national Magnin,M5011,2002-04-15,2017-09-13,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
JC 63-2-57,dessin,,,ETUDE POUR UN EVEQUE,LEVY Henri Léopold,"Nancy, 1840 ; Paris, 1904",,4e quart 19e siècle,1882 vers,,,,,,71 H ; 28.5 L,sanguine;graphite;papier calque (blanc);carton;matériaux colles l'un sur l'autre,,,"figure (évêque, en pied, de profil, vêtement liturgique)",,,propriété de la commune ; donation ; Nancy ; musée de l'Ecole de Nancy,1963,,,000DE020491,Nancy;musée de l'Ecole de Nancy,M0513,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Nancy,"48.692365,6.182711"
1938 F 855,peinture,tableau,,L'Orgie,RONOT Charles (peintre),"RONOT : Belan-sur-Ource (Côte-d'Or), 1820 ; Dijon, 1895 ; nationalité : Française",,19e siècle,,,,,,,dimensions en m : Hauteur 0.27 ; Largeur 0.35,peinture à l'huile;toile,,,"scène (banquet, personnage, conversation)",,,propriété de l'Etat ; legs ; musée national Magnin,1938,,,50110000514,Dijon;musée national Magnin,M5011,2002-04-15,2018-03-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
1938 F 535,peinture,tableau,,Moutons à l'approche de l'orage,"JACQUE Charles Emile (peintre, manière de)","JACQUE : Paris, 1813 ; Paris, 1894 ; nationalité : Française",,19e siècle,,,,,,,Hauteur 0.225 ; Largeur 0.278,peinture à l'huile;toile,,,"représentation animalière (mouton, mare) ; fond de paysage (orage)",,,propriété de l'Etat ; legs ; musée national Magnin,1938,,,50110000540,Dijon;musée national Magnin,M5011,2002-04-15,2017-09-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
1938 F 857,peinture,tableau,,La Masure,"ROQUEPLAN Camille (peintre, attribué)","ROQUEPLAN : Mallemort, 1803 ; Paris, 1855 ; nationalité : Française",,1ère moitié 19e siècle,,,,,,,dimensions en m : Hauteur 0.242 ; Largeur 0.322,peinture à l'huile;bois,,,"paysage (ferme, chaumière, fillette)",,,propriété de l'Etat ; legs ; musée national Magnin,1938,,,50110000585,Dijon;musée national Magnin,M5011,2002-04-15,2018-03-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
RF 4074,sculpture,masque;relief,,LA JEUNESSE,SAINT-MARCEAUX Charles René de Paul de,"Reims, 1845 ; Paris, 1915",,1er quart 20e siècle,1900 entre ; 1906 et ; 1922 tirage,,,,,,24 H,Haut-relief;plâtre,,,"figure (femme, tête)",,,propriété de l'Etat ; musée d'Orsay ; don ; Musées nationaux ; Musée du Luxembourg,1925,1932,"PARIS, MUSEE DU LUXEMBOURG",000SC013420,Montpellier;musée Fabre,M0476,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Montpellier ; Musee Fabre,Montpellier,"43.611024,3.875521"
A.701,peinture,tableau,,Autoportrait dans l'atelier,DROOGSLOOT Joost Cornelisz,"Utrecht (Pays-Bas), 1586 ; Utrecht (Pays-Bas), 1666",,2e quart 17e siècle,1630,,,,,,H. 48.5 ; l. 64.5,"peinture à l'huile, bois",,,"scène (intérieur : atelier d'artiste, art de la peinture, peinture, chevalet : tableau, apprenti, meule, Pays-Bas) ; autoportrait (Droogsloot Joost Cornelisz, assis, salut, chapeau); tableau (paysage)",,,propriété de la commune ; legs ; Mâcon ; musée des Ursulines,1923,,,01720002724,Mâcon;musée des Ursulines,M0172,2003-06-30,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Pays-Bas,,Mâcon,"46.305198,4.830897"
77.985.0.43,dessin,élément d'ensemble,,"LA RUE D'OR A STRASBOURG EN 1893.MAISONS DU XVIE SIECLE, NO 7 ET 9",SCHWEITZER Emile,"Strasbourg, 1837 ; Strasbourg, 1903",,4e quart 19e siècle,1893,,,,,,25.3 H ; 17.2 L ; 23.5 H1 ; 13.8 L1,plume;encre noire;lavis gris;gouache blanche;papier (beige),,,"vue d'architecture (ville, Strasbourg, rue, maison, corniche, soubassement, ornement et accessoire d'architecture, pan-de-bois, sculpture, pilier, toit, auberge, magasin) ; chasseur ; homme (préparation des aliments)",,,propriété de la commune ; mode d'acquisition inconnu ; Strasbourg ; Cabinet des Estampes et des dessins,date d'acquisition inconnue,,,000DE022864,Strasbourg;cabinet des estampes et des dessins,M0013,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Alsace,,Strasbourg,"48.58353,7.746735"
1938 F 659,peinture,tableau,,Ustensiles de ménage et légumes,MAGNIN Jeanne (peintre),"MAGNIN : Dijon, 1855 ; Paris, 1937 ; femme ; nationalité : Française",,4e quart 19e siècle,1877,,,,,,Hauteur 0.135 ; Largeur 0.170,peinture à l'huile;bois,,,"nature morte (casserole, pot, légume, oignon)",,,propriété de l'Etat ; legs ; musée national Magnin,1938,,,50110000823,Dijon;musée national Magnin,M5011,2002-04-15,2017-10-02,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
1938 F 812,peinture,tableau,,"Jeune Femme assise, tenant des fleurs",anonyme (peintre),,,1ère moitié 19e siècle,,,,,,,dimensions en m : Hauteur 0.273 ; Largeur 0.215,"peinture à l'huile;papier, marouflé;toile",,,"scène (femme, assis, fleur, chapeau, intérieur)",,,propriété de l'Etat ; legs ; musée national Magnin,1938,,,50110000860,Dijon;musée national Magnin,M5011,2002-04-15,2017-12-06,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
MM 82.212,peinture,tableau,,Portrait de Napoléon III,anonyme,,,3e quart 19e siècle,,,,,,,,peinture à l'huile;toile,,,portrait (Napoléon III),,,,1951,1957 dépôt,,M5009002134,Compiègne;musée national du château de Compiègne,M5009,2002-04-29,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Compiègne ; musée national du château,Compiègne,"49.413535,2.82091"
Cl. 12746 A ; Cl. 12746 B,sculpture;médiéval,fragment;dalle funéraire;élément d'ensemble;relief,,"DALLE TUMULAIRE, FRAGMENT",anonyme,,,2e moitié 14e siècle,,,,,,,142 H ; 55 L,relief (gravé);gravure;pierre,,,"figure (homme, prêtre)",,,propriété de l'Etat ; musée de Cluny ; Saisie révolutionnaire,1891 Inscrit sur inventaire,,CHANTIERS DE SAINT-DENIS,000SC003257,Paris;musée national du moyen âge - thermes de Cluny,M5003,,2007-10-08,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
1657,sculpture,buste;buste en Hermès,,BUSTE DE WASHINGTON (1732-1799),CANOVA Antonio,"Passagno, 1757 ; Venise, 1822",,4e quart 18e siècle;1er quart 19e siècle,,,,,,,63 H ; 58 L,taille;marbre,,,"portrait (Washington George, homme, en buste, homme politique)",,,propriété de la commune ; don ; Marseille ; musée Cantini,1937,,,000SC004308,Marseille;musée Cantini,M0915,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie,,Marseille,"43.2804,5.3806"
1993.4,numismatique,médaille,,Statue équestre du duc d'Orléans,BARRE ; MAROCHETTI Charles Baron (d'après),"Turin, 1805 ; ?, 1867",,2e quart 19e siècle,1842,,,commémoration,,,D. 2.2 ; Ep. 0.2,bronze,,,"portrait (Orléans Ferdinand d', cheval, équestre passant)",,,propriété de la commune ; don ; Eu ; musée Louis Philippe,,,,07140001403,Eu;musée Louis-Philippe,M0714,2002-11-19,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Italie (d'après),,Eu,"50.046806,1.419626"
INV. 449 ; F 2821 C ; LP 5813,peinture,tableau,,L'Eté,"ALAUX Jean, LE ROMAIN (dit)","Bordeaux, 1786 ; Paris, 1864",Fontainebleau (lieu de création),2e quart 19e siècle,1844,,,,,,,peinture à l'huile;toile,,,figure (été),,,,,1928 déposé,,50130000611,Fontainebleau;musée national du château de Fontainebleau,M5013,2002-11-26,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; Fontainebleau ; musée national du château,Fontainebleau,"48.408814,2.701368"
INV 477 ; F 2853 C ; LP 5845,peinture,tableau,,Vénus et l'Amour,"ALAUX Jean, LE ROMAIN (dit)","Bordeaux, 1786 ; Paris, 1864",Fontainebleau (lieu de création),2e quart 19e siècle,1844,,,,,,H. 19 ; L. 27,peinture à l'huile;toile,,,figure mythologique (Vénus),,,,,1928 déposé,,50130000644,Fontainebleau;musée national du château de Fontainebleau,M5013,2002-11-26,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; Fontainebleau ; musée national du château,Fontainebleau,"48.408814,2.701368"
974.1.8.1 et 2 ; 1007 (Inventaire Marilier),peinture;croyances - coutumes,tableau,,Crucifixion,anonyme,,,17e siècle;19e siècle,,,,,,,,"peinture à l'huile, cuivre;bois, doré, mouluré",,,"scène biblique (Crucifixion, Vierge, saint Jean, sainte Madeleine, prière, soldat, cheval) ; fond de paysage",Nouveau Testament,,propriété de la commune ; legs ; Dijon ; musée d'Art Sacré,1974,,,01390002467,Dijon;musée d'Art Sacré,M0139-1,2002-12-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Dijon,"47.322982,5.041742"
995.8.12.1 et 2,peinture;croyances - coutumes,tableau,,Christ à la paille,anonyme,,,17e siècle,,,,,,,,"peinture à l'huile, bois;bois , doré, mouluré, noyer",,,"scène biblique (Mise au tombeau, Christ, nudité, Vierge, robe, voile, saint Joseph d'Arimathie, sainte Madeleine, saint Jean, paille)",Nouveau Testament,,propriété de la commune ; don ; Dijon ; musée d'Art Sacré,1995,,,01390002456,Dijon;musée d'Art Sacré,M0139-1,2002-12-17,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Dijon,"47.322982,5.041742"
985,sculpture,statuette,,ACADEMIE D'HOMME,anonyme,,,18e siècle,,,,,,,62 H,taille;tilleul,,,"figure (homme, en pied, nu, blessé, sang, épée)",,,propriété de la commune ; donation ; Marseille ; musée Grobet-Labadie,1919,,,000SC005002,Marseille;musée Grobet-Labadié,M0917,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Marseille,"43.2804,5.3806"
133,sculpture,,,LA FAMILLE,LANCELOT-CROCE Marcelle Renée,"Paris, 1854 ; ?,1938 (?) ; femme#Devenue italienne par son mariage avec l'artiste Croce. Elève de son père, de Ponscarne et de Delaplanche",,4e quart 19e siècle,1891,,,,,,45.5 H ; 35.5 L,Bas-relief;fonte;bronze,,,scène (famille),,,propriété de l'Etat,,1902,,000SC005053,Marseille;musée des beaux-arts,M0913,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Marseille ; Musée des Beaux-Arts,Marseille,"43.2804,5.3806"
MI.867.30,peinture,tableau,,Un religieux faisant l'opération du trépan,anonyme,,,3e quart 17e siècle,1652,,,,,,H. 26 ; L. 20,"peinture à l'huile, cuivre",,,"scène (religieux, profession de la santé, traitement médical, douleur)",,,propriété de la commune ; don ; Montauban ; musée Ingres,1851 acquis,,,06070000313,Montauban;musée Ingres,M0607,2003-09-19,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Flandres,,Montauban,"44.017035,1.354878"
CA T 1255 ; 1255 (Cat. Trimolet),émaillerie;médiéval;croyances - coutumes,châsse (élément),,Saint Paul,anonyme (auteur),,"France, Haute-Vienne, Limoges (lieu de création)",2e quart 12e siècle,1130,,,pratique religieuse,,,Dimensions Hauteur : 20.5 cm ; Largeur : 11.8 cm,"cuivre, champlevé, doré, cloisonné, émail (polychrome)",,,"figure (saint Paul de Tarse, en pied, de face, signe alphabétique)",,,propriété de la commune ; legs ; Dijon ; musée des beaux-arts,1878,,,01370013061,Dijon;musée des beaux-arts,M0137,2004-05-06,2018-04-25,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
CA T 1282,émaillerie,plaque,,La Déploration du Christ,PENICAUD Nardon (attribué),"Limoges, 1470 vers ; Limoges, 1542 ou 1543",Limoges (lieu de création),1ère moitié 16e siècle,,,époque Renaissance,culte,,,H. 12.5 ; L. 9.5,"émail (peint), cuivre",,,"scène biblique (Déploration, Vierge de douleur, Christ mort, saint Jean, sainte Madeleine) ; fond de paysage (arbre, colline, ville, Jérusalem)",Nouveau Testament,,propriété de la commune ; legs ; Dijon ; musée des beaux-arts,1878,,,01370006970,Dijon;musée des beaux-arts,M0137,2004-05-06,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Dijon,"47.322982,5.041742"
CL 12423 B,sculpture,fragment;élément d'ensemble;panneau;relief,,PASTORALES,anonyme,,,17e siècle,,,,,,,22 H ; 18 L,Bas-relief;taille en réserve;ébène,,Pays-Bas (lieu de provenance),"scène (homme, femme, arbre)",,,propriété de l'Etat ; achat ; Musée de Cluny,1843 ; 1891 Inscrit sur inventaire,,,000SC006504,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Flandre,,Paris,"48.8589,2.3469"
CL 15457 A,sculpture : médiéval,élément d'ensemble;panneau;relief,,PANNEAU ATTRIBUT SAINT PIERRE,anonyme,,,15e siècle,,,,,,,65 H ; 15 L,Bas-relief;taille en réserve;bois,,France (lieu de provenance),ornementation (réseau orn),,,propriété de l'Etat ; legs ; Musée de Cluny,1906,,,000SC006514,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
E.Cl. 19140 ; CL 19140,sculpture,relief;cul de lampe,,CUL DE LAMPE,anonyme,,Provence-Alpes-Côte d'Azur ; Alpes-de-Haute-Provence ; Moustiers-Sainte-Marie (lieu d'exécution),16e siècle,,,époque Renaissance,décor d'architecture,,,27 H ; 20 L,taille directe;pierre,,France (lieu de provenance),"figure biblique (ange, phylactère)",,,propriété de l'Etat ; mode d'acquisition inconnu ; Musée de Cluny,1912 Inscrit sur inventaire,1977 affecté,,000SC002615,Ecouen;musée national de la Renaissance,M5012,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,affectation ; Ecouen ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
CL 19142,sculpture;médiéval,mascaron;relief,,TETE DECORATIVE,anonyme,,,15e siècle,,,,décor d'architecture,,,23 H ; 29 L ; 55 P,Haut-relief;taille directe;pierre,,France (lieu de provenance),"figure (homme : tête, barbe)",,,propriété de l'Etat ; mode d'acquisition inconnu ; Musée de Cluny,1912 Inscrit sur inventaire,,,000SC002655,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
CL 19069,sculpture,relief,,MONUMENT EN FORME DE PILASTRE,anonyme,,,4e quart 15e siècle;1er quart 16e siècle,1500 vers,,,,,,93 H ; 43 L,taille directe;pierre,,,ornementation,,,propriété de l'Etat ; mode d'acquisition inconnu ; Musée de Cluny,1912 Inscrit sur inventaire,,,000SC002706,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1991-03-05,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
CL 1260,sculpture,,,CARYATIDES DU LOUVRE,SARRAZIN Jacques,"Noyon, 1588 ; Paris, 1660",,17e siècle,,,,,,,30 H,Haut-relief;modelage;terre cuite,,,"groupe de figures (femme : nudité, en pied)",,,propriété de l'Etat ; achat ; Musée de Cluny,1843,1985,,000SC002770,Ecouen;musée national de la Renaissance,M5012,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,affectation ; Ecouen ; musée national de la Renaissance,Ecouen,"49.018304,2.380684"
CL 21115,sculpture;médiéval,diptyque;élément d'ensemble;volet (gauche);relief,,FEUILLET DE DIPTYQUE,anonyme,,,14e siècle,,,,,,,28 H ; 11.5 L,Demi-relief;taille;ivoire,,,"scène biblique (Jugement Dernier)#figures bibliques (apôtre, Mort de la Vierge : partie de)#scène biblique (Adoration des Mages)#ornementation",Nouveau Testament,,propriété de l'Etat ; mode d'acquisition inconnu ; BN,,1926 affecté,,000SC002784,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,"affectation ; Paris, musée de Cluny",Paris,"48.8589,2.3469"
CL 13298,sculpture;ivoirerie;médiéval,boîte;élément,,VALVE DE BOITE A MIROIR,anonyme,,,14e siècle,,,,,,,7 H ; 7 L,ivoire (taillé);bas-relief,,,"scène (Tristan, Yseult, galanterie, feuillu, animal, oiseau)",,,propriété de l'Etat ; achat ; Musée de Cluny,1896,,,000SC002821,Paris;musée national du moyen âge - thermes de Cluny,M5003,,1995-09-15,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
